var,time,mean,lower,upper
r,NA,0.147104,0.138728,0.154496
Incidence,1,1.077298,1.072686,1.081385
Incidence,2,2.32534,2.305,2.343436
Incidence,3,3.771212,3.720696,3.816338
Incidence,4,5.446298,5.347063,5.535316
Incidence,5,7.386967,7.215453,7.541484
Incidence,6,9.635363,9.361881,9.882822
Incidence,7,12.240323,11.827721,12.615326
Incidence,8,15.258443,14.660506,15.804348
Incidence,9,18.755308,17.914843,19.526159
Incidence,10,22.806921,21.653461,23.869771
Incidence,11,27.501365,25.948428,28.939069
Incidence,12,32.940718,30.882536,34.855293
Incidence,13,39.243282,36.550894,41.759938
Incidence,14,46.546164,43.062769,49.818139
Incidence,15,55.008263,50.543686,59.222621
Incidence,16,64.813744,59.137847,70.198307
Incidence,17,76.176052,69.010918,83.007695
Incidence,18,89.342576,80.353214,97.957143
Incidence,19,104.600048,93.383373,115.40419
Incidence,20,122.280808,108.352567,135.766108
Incidence,21,142.770062,125.549348,159.529884
Incidence,22,166.514298,145.305206,187.263864
Incidence,23,194.031047,168.000961,219.63135
Incidence,24,225.920194,194.074102,257.406459
Incidence,25,262.877093,224.027224,301.492641
Incidence,26,305.707774,258.43771,352.944285
Incidence,27,355.346572,297.968869,412.991935
Incidence,28,412.87657,343.382715,483.071722
Incidence,29,479.553298,395.554657,564.859712
Incidence,30,556.83221,455.490378,660.31199
Incidence,31,646.40055,524.345217,771.711443
Incidence,32,750.214291,603.44644,901.722359
Incidence,33,870.540974,694.318825,1053.454149
Incidence,34,1010.009376,798.714055,1230.53571
Incidence,35,1171.667107,918.644484,1437.202219
Incidence,36,1359.047393,1056.421926,1678.396422
Incidence,37,1576.246519,1214.702219,1959.886846
Incidence,38,1828.013633,1396.536422,2288.405767
Incidence,39,2119.85488,1605.429624,2671.810216
Incidence,40,2458.154167,1845.408511,3119.269899
Incidence,41,2850.313198,2121.09899,3641.486497
Incidence,42,3304.913881,2437.815349,4250.94962
Incidence,43,3831.906659,2801.662708,4962.23551
Incidence,44,4442.828923,3219.654695,5792.355659
Incidence,45,5151.058313,3699.848647,6761.16366
Incidence,46,5972.106476,4251.500926,7891.830037
Incidence,47,6923.959757,4885.245343,9211.396408
CFR,1,0.016721,0.001637,0.04249
CFR,2,0.014388,0.001372,0.036651
CFR,3,0.012573,0.001208,0.032433
CFR,4,0.010836,0.00105,0.027598
CFR,5,0.009376,0.000924,0.024012
CFR,6,0.008133,0.000771,0.020978
CFR,7,0.011522,0.001631,0.026395
CFR,8,0.009938,0.001379,0.02288
CFR,9,0.00859,0.001143,0.019785
CFR,10,0.010338,0.001856,0.022271
CFR,11,0.011514,0.002648,0.023476
CFR,12,0.01669,0.006005,0.029987
CFR,13,0.036116,0.019922,0.055708
CFR,14,0.04143,0.024999,0.061485
CFR,15,0.050542,0.032692,0.072323
CFR,16,0.052651,0.035072,0.074518
u_delay,NA,0.416191,0.400864,0.434279
predictedDeath,1,1.435455,0.140654,3.621937
predictedDeath,2,1.431489,0.137235,3.63088
predictedDeath,3,1.451599,0.138914,3.713529
predictedDeath,4,1.450153,0.141078,3.662878
predictedDeath,5,1.454364,0.14204,3.717162
predictedDeath,6,1.461172,0.139871,3.722904
predictedDeath,7,2.400571,0.344326,5.42772
predictedDeath,8,2.398261,0.336672,5.419981
predictedDeath,9,2.401877,0.328337,5.465733
predictedDeath,10,3.35047,0.606799,7.123973
predictedDeath,11,4.320992,1.007796,8.602856
predictedDeath,12,7.255537,2.641513,12.696522
predictedDeath,13,18.179059,10.478205,26.713933
predictedDeath,14,24.156775,15.274476,33.83503
predictedDeath,15,34.133468,23.561598,45.580298
predictedDeath,16,41.17704,29.36394,53.561552
