var,time,mean,lower,upper
r,NA,0.285919,0.172491,0.39851
Incidence,1,0.064785,0.000303,0.449754
Incidence,2,0.14317,0.000754,0.987263
Incidence,3,0.238285,0.001429,1.620392
Incidence,4,0.354032,0.002423,2.37159
Incidence,5,0.495296,0.003913,3.266747
Incidence,6,0.6682,0.006145,4.324206
Incidence,7,0.880443,0.009478,5.593198
Incidence,8,1.141733,0.014394,7.090059
Incidence,9,1.464338,0.021743,8.864688
Incidence,10,1.86381,0.032524,10.97945
Incidence,11,2.359908,0.048707,13.496676
Incidence,12,2.97781,0.072712,16.513037
Incidence,13,3.749685,0.108377,20.034508
Incidence,14,4.716745,0.161273,24.290583
Incidence,15,5.931931,0.240684,29.351464
Incidence,16,7.463443,0.358089,35.354918
Incidence,17,9.399377,0.534256,42.605297
Incidence,18,11.853851,0.793412,51.33478
Incidence,19,14.975104,1.178759,61.600931
Incidence,20,18.956241,1.751048,73.722585
Incidence,21,24.049528,2.606506,88.45552
Incidence,22,30.585454,3.87493,105.812844
Incidence,23,38.998221,5.764345,126.452466
Incidence,24,49.859938,8.534317,151.118371
Incidence,25,63.926583,12.662448,180.909041
Incidence,26,82.199991,18.761143,217.184924
Incidence,27,106.011657,27.819523,261.170366
Incidence,28,137.136354,41.266823,312.850739
Incidence,29,177.946603,60.954749,375.089798
Incidence,30,231.623239,89.949983,453.757922
Incidence,31,302.443263,133.021871,551.725053
Incidence,32,396.174407,195.075482,670.680242
Incidence,33,520.617462,283.67721,825.152338
Incidence,34,686.353758,406.473573,1026.963913
Incidence,35,907.778209,573.723457,1298.498183
Incidence,36,1204.530925,789.799342,1678.19068
Incidence,37,1603.486569,1045.942104,2227.676933
Incidence,38,2141.526241,1328.938094,3039.560526
Incidence,39,2869.410195,1653.079101,4263.936705
Incidence,40,3857.203107,2024.283129,6093.720417
Incidence,41,5201.894776,2460.363971,8829.679085
Incidence,42,7038.133262,2954.234138,12883.277456
Incidence,43,9553.38192,3550.775469,18884.23403
Incidence,44,13009.380431,4244.164408,27811.825942
CFR,1,0.132497,0.007023,0.478362
CFR,2,0.10353,0.005811,0.375893
CFR,3,0.080351,0.004705,0.290974
CFR,4,0.061697,0.003702,0.222325
CFR,5,0.046831,0.003032,0.162848
CFR,6,0.035306,0.002374,0.119009
CFR,7,0.042754,0.004416,0.128679
CFR,8,0.031976,0.003439,0.093843
CFR,9,0.023803,0.00273,0.067294
CFR,10,0.024737,0.00385,0.062676
CFR,11,0.023741,0.004912,0.055347
CFR,12,0.030087,0.009883,0.061239
CFR,13,0.056079,0.028042,0.096956
u_delay,NA,0.168026,0.09448,0.294318
u_death,NA,0.032961,0.010658,0.086186
predictedDeath,1,1.164375,0.101683,2.955579
predictedDeath,2,1.217479,0.107423,3.102004
predictedDeath,3,1.268605,0.117351,3.221815
predictedDeath,4,1.314572,0.11889,3.315757
predictedDeath,5,1.35502,0.126183,3.423395
predictedDeath,6,1.386018,0.12549,3.515882
predictedDeath,7,2.283994,0.304445,5.175583
predictedDeath,8,2.317125,0.309233,5.309215
predictedDeath,9,2.337055,0.317714,5.358299
predictedDeath,10,3.281775,0.594268,6.910785
predictedDeath,11,4.248912,0.995157,8.392667
predictedDeath,12,7.242579,2.694908,12.659836
predictedDeath,13,18.074403,10.485511,26.447269
